,x,spatial ident,axial value
1,GLUAL1,AL,1
2,GLUAL2,AL,1
3,GLUAL3,AL,1
4,GLUAL4,AL,1
5,Rgl2AL,AL,1
6,GABAAL,AL,1
7,NbGABAAL,AL,1
8,Rgl3,NA,NA
9,NbGABABL,BL,2
10,GABABL1,BL,2
11,GABABL2,BL,2
12,GABABL3,BL,2
13,GABABL4,BL,2
14,Rgl2BP,NA,NA
15,NbGABABI,BI,3
16,GABABI,BI,3
17,NbBM1,BM,4
18,GLUBM1,BM,4
19,GLUBM2,BM,4
20,NbFP,FP,5
21,DA,FP,5
22,Rgl1,FP,5
23,NbDA,FP,5
24,GLUFP,FP,5
25,NbGLU,FP,5
26,GLUMHB1,NA,NA
27,GLUMHB2,NA,NA
28,GABAMHB,NA,NA
29,GLUMHB3,NA,NA
30,GLUMHB4,NA,NA
